COD_ELEMENTO;IDE_EVENTO;MANIOBRA;IDE_CODIGO_CLASE;NOM_CODIGO;ANIO;MES;DIA;DUR_H;PROM_H;NUM_APERTURAS
R-013;1204730;609451;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;5;10;0.016;0.016;1
QURP0198;1206939;612780;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;6;5;4.818;4.818;1
ARRP0532;1209910;628390;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;7;25;1.67;1.67;1
ARRP0257;1212031;629625;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;8;1;72.956;72.956;1
S-2026;1217924;647199;Interrupciones por Seguridad Ciudadana;APERTURA POR SEGURIDAD CIUDADANA;2023;10;10;5.07;5.07;1
206-23;1217972;647254;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;10;10;0.001;0.001;1
S-1300;1218844;648386;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;10;14;11.932;11.932;1
C-0190;1218183;648888;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;10;18;8.741;2.218;1
ARUP1248;1219185;649320;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;10;21;7.429;7.429;1
CIUQ0058;1221959;653871;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;11;29;0.914;0.914;1
R-104;1198536;568301;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO AUTOMATICO;2023;3;9;0.004;0.004;1
ARRP0215;1198372;571972;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;3;15;6.473;6.473;1
304-25;1199209;583583;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;3;17;0.001;0.001;1
R-046;1200658;588732;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;28;0.002;0.002;1
111-23;1203854;608047;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;4;27;0.003;0.003;1
S-723;1204017;608385;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;4;28;8.767;8.767;1
C-0308;1205653;610841;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;5;20;0.008;0.008;1
R-094;1206029;611326;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;5;25;0.022;0.022;1
GERQ0030;1207317;613407;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;6;12;0.827;0.827;1
CIRP0363;1210766;627894;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;7;21;17.131;17.131;1
CIRQ0203;1211910;629435;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;8;1;19.351;19.351;1
205-24;1215877;644375;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;9;21;0.001;0.001;1
ARRP0154;1217212;646118;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;10;2;1.4;1.4;1
S-1530;1217990;648184;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;10;10;68.101;68.101;1
205-22;1218204;647600;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;10;11;0.075;0.075;1
QURQ0377;1220532;650755;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;11;1;2.575;2.575;1
110-26;1220565;650864;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;11;1;0.002;0.002;1
CARQ0144;1193181;548879;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;1;13;0.917;0.917;1
110-22;1194302;549627;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;1;17;0.022;0.022;1
S-1172;1195703;551729;Interrupciones Programadas no Excluibles;APERTURA PARA REALIZAR TRABAJOS DE PODA DE ARBOLES;2023;2;3;4.933;4.933;1
