FID;CODIGO;CAPACIDAD_NOMINAL;FASES;COOR_GPS_LON;COOR_GPS_LAT;MUNICIPIO;UBICACION;CIRCUITO;PROPIETARIO_1;EQUIPO_PADRE;FID_EQUIPO_PADRE
30748964;MORP0265;30;RST;-75,78516695;4,515102734;MONTENEGRO;VR PUEBLO TAPADO  POZO EL AGRADO;111-24-;PARTICULAR;S-601;30748716
30748965;MORP0586;15;SN;-75,78688511;4,5058299;MONTENEGRO;VDA EL SILENCIO FCA BELINDA;111-24-;PARTICULAR;S-616;30748697
30748966;MORP0285;15;RST;-75,81715276;4,515374396;MONTENEGRO;VR EL PACIFICO FC EL NARANJAL;111-24-;PARTICULAR;S-622;30748713
30748967;MORP0295;30;RST;-75,82327523;4,514788345;MONTENEGRO;FC LA FLORIDA VA EL NARANJAL;111-24-;PARTICULAR;S-1646;30748686
30748968;ARRQ0241;5;TN;-75,74647492;4,513084198;ARMENIA;VDA ZULAYBAR FCA EL PORVENIR;111-24-;EDEQ;S-424;30748683
30748969;MORP0300;30;RST;-75,82764552;4,508410268;MONTENEGRO;VR BUENOS AIRES FC SAN RAFAEL;111-24-;PARTICULAR;S-2068;30748693
30748970;ARRP0293;25;ST;-75,7707699;4,495198872;ARMENIA;VR MURILLO FC LA VEGA;111-24-;PARTICULAR;S-2508;31450872
30748971;MORP0291;15;RST;-75,8148756;4,508994751;MONTENEGRO;VR ONCE CASAS FC STA ANA;111-24-;PARTICULAR;C-0244;30748660
30748972;ARRP0532;15;RST;-75,76181552;4,486735015;ARMENIA;VR MURILLO FC EL REGALO;111-24-;PARTICULAR;C-0359;30748659
30748973;MORQ0322;15;ST;-75,85626132;4,509258353;MONTENEGRO;VR MONTA?A FC LA MARIA;111-24-;EDEQ;S-625;30748705
30748974;ARRQ0200;15;ST;-75,73336298;4,506965692;ARMENIA;FC TOPACIO VR DULCERITA;111-24-;EDEQ;S-2208;30748677
30748975;ARRP0266;15;RST;-75,76441595;4,503422639;ARMENIA;VDA LA REVANCHA FC VIZCAYA;111-24-;EDEQ;S-1280;30748717
30748976;ARUN2597;300;RST;-75,71671275;4,516206619;ARMENIA;PARQUE RES.OVIEDO CLL 50 VIA  PUEBLO TAPAO;111-24-;EDEQ;S-2281;30748694
30748977;ARRP0296;45;RST;-75,77120466;4,486306228;ARMENIA;VR MURILLO FC SAN FELIPE;111-24-;PARTICULAR;S-768;30748688
