FID;G3E_FNO;X_INICIAL;Y_INICIAL;X_FINAL;Y_FINAL
31040513;19000;-75,65963057;4,549477522;-75,65961257;4,549477522
31040577;19000;-75,65149024;4,562784119;-75,65167136;4,562303535
31061045;19000;-75,77722129;4,467980427;-75,77720329;4,467980427
31061058;19000;-75,78298214;4,464283013;-75,78306687;4,464250616
31061090;19000;-75,77751027;4,468592101;-75,7780668;4,469705112
31061100;19000;-75,77881989;4,462551545;-75,7788877;4,462410628
31061120;19000;-75,78310305;4,461604427;-75,78330866;4,462500738
31061129;19000;-75,7810046;4,464440435;-75,7810046;4,464440435
31061138;19000;-75,78195064;4,460746219;-75,78216154;4,461191402
31061146;19000;-75,77698416;4,465558874;-75,77698416;4,465558874
31061195;19000;-75,77396888;4,469797255;-75,77432318;4,470650436
31061205;19000;-75,78167484;4,46390731;-75,78163507;4,463979567
31055535;19000;-75,73975117;4,491029771;-75,73975117;4,491029771
31055544;19000;-75,75747092;4,475186633;-75,75747092;4,475186633
31061151;19000;-75,78378018;4,461243991;-75,78378018;4,461243991
31055412;19000;-75,75720512;4,474721458;-75,75699306;4,47442725
31055422;19000;-75,75654137;4,471132889;-75,75654137;4,471132889
31236225;19000;-75,5825032;4,642442436;-75,5825032;4,642442436
31236240;19000;-75,58596611;4,642174067;-75,58596611;4,642174067
31236249;19000;-75,61498771;4,623775901;-75,61498771;4,623775901
31236258;19000;-75,5762776;4,670863597;-75,57586528;4,671550655
31245193;19000;-75,65595793;4,516303924;-75,65595793;4,516303924
31245200;19000;-75,64393142;4,52849814;-75,64388437;4,528601106
31245207;19000;-75,64554413;4,525643704;-75,64554413;4,525643704
31245219;19000;-75,65541406;4,5065004;-75,65468633;4,506434784
31245226;19000;-75,6483801;4,519601353;-75,64845796;4,519400812
31245233;19000;-75,64396652;4,528512674;-75,64393142;4,52849814
31245239;19000;-75,64926228;4,517624171;-75,64926228;4,517624171
31245245;19000;-75,64510624;4,535727298;-75,64490857;4,535921271
31245252;19000;-75,64613356;4,51909155;-75,64580498;4,518979703
31245258;19000;-75,65787034;4,514933548;-75,65823962;4,514499432
31245277;19000;-75,64934837;4,518739013;-75,64934837;4,518739013
31245284;19000;-75,65508956;4,510302134;-75,65508956;4,510302134
31245290;19000;-75,64723793;4,518646242;-75,64723793;4,518646242
31245297;19000;-75,66161488;4,502954256;-75,66220459;4,502652555
31245303;19000;-75,65452323;4,51707405;-75,65486034;4,516968942
31245310;19000;-75,65005341;4,518431228;-75,64968827;4,518591424
31245318;19000;-75,65400871;4,516229572;-75,65399874;4,516263002
31245325;19000;-75,65504727;4,513967009;-75,65500829;4,514092594
31245333;19000;-75,64546868;4,522332088;-75,64507171;4,522183943
31236275;19000;-75,57156372;4,640000901;-75,5709521;4,640370231
31236285;19000;-75,54774627;4,608347878;-75,54774627;4,608347878
31236294;19000;-75,48387202;4,639464279;-75,4845944;4,639127833
31236306;19000;-75,54596127;4,611441087;-75,54594327;4,611441087
31236326;19000;-75,55104883;4,613864825;-75,55057749;4,612683196
31236342;19000;-75,56984884;4,635526959;-75,56970982;4,635232862
31236349;19000;-75,5709521;4,640370231;-75,5709521;4,640370231
31236360;19000;-75,56373903;4,638354218;-75,56374445;4,638332524
31236370;19000;-75,56626942;4,640186622;-75,56426318;4,640114511
31236378;19000;-75,57110722;4,618635723;-75,57060078;4,618697923
31236387;19000;-75,49781628;4,634582651;-75,4948524;4,634547072
31236396;19000;-75,55057749;4,612683196;-75,55141337;4,611913894
31236401;19000;-75,61267139;4,627714416;-75,61301426;4,627902259
31245342;19000;-75,65587508;4,510291925;-75,65587508;4,510291925
31055971;19000;-75,7580992;4,474984825;-75,75810183;4,474998825
31055980;19000;-75,7195193;4,5014703;-75,71960517;4,50179773
31056008;19000;-75,71297602;4,504685499;-75,7129798;4,504591484
31056015;19000;-75,76250475;4,490689786;-75,76278186;4,489374856
31056021;19000;-75,71488789;4,506926641;-75,71581748;4,508406525
31056030;19000;-75,71336041;4,504344489;-75,71333693;4,504374279
31056037;19000;-75,72130042;4,503792549;-75,72130042;4,503792549
31056043;19000;-75,7471519;4,496700127;-75,74804953;4,496476658
31056050;19000;-75,76486725;4,475296722;-75,76486725;4,475296722
31056058;19000;-75,76939565;4,468698756;-75,76894789;4,468734117
31056111;19000;-75,75380958;4,47295236;-75,75380958;4,47295236
31056119;19000;-75,72705126;4,492606472;-75,72754493;4,492102018
31055165;19000;-75,76894789;4,468734117;-75,76815596;4,468802311
31055181;19000;-75,73314056;4,487821701;-75,73423355;4,487655564
31055208;19000;-75,72578206;4,495990729;-75,72578206;4,495990729
31055230;19000;-75,76199711;4,472876762;-75,76215059;4,473186233
31055237;19000;-75,7252193;4,493904913;-75,72586473;4,493176536
31055244;19000;-75,71834781;4,500724967;-75,71850837;4,501095029
31055253;19000;-75,76509137;4,46985006;-75,76491047;4,469762039
31055313;19000;-75,75382729;4,477121073;-75,75354182;4,477069927
31055319;19000;-75,76341563;4,472005076;-75,76341294;4,472000551
31055327;19000;-75,76757793;4,469151153;-75,76723712;4,46830794
31055339;19000;-75,75422314;4,479400057;-75,75422314;4,479400057
31055348;19000;-75,76515218;4,467068323;-75,76515218;4,467068323
31055356;19000;-75,76659394;4,474883953;-75,76659394;4,474883953
31055364;19000;-75,74465465;4,49282884;-75,74577492;4,492530743
31055375;19000;-75,76411063;4,470728867;-75,76363487;4,470298574
31055384;19000;-75,72152041;4,499450148;-75,72153006;4,499461624
31055398;19000;-75,7651153;4,475112737;-75,7651153;4,475112737
31063350;19000;-75,75479926;4,559361796;-75,7543817;4,559601507
31063357;19000;-75,75523511;4,560449295;-75,75520934;4,560256681
31063363;19000;-75,75209262;4,566387746;-75,75217375;4,566363487
31063370;19000;-75,74435047;4,571569928;-75,74435047;4,571569928
31063378;19000;-75,74536166;4,571860213;-75,74561802;4,571593087
31063387;19000;-75,75310165;4,558054987;-75,75310165;4,558054987
31063394;19000;-75,7507368;4,559999784;-75,75064924;4,559601831
31063401;19000;-75,75384647;4,566515758;-75,75384647;4,566515758
31063407;19000;-75,76090462;4,566814482;-75,76090462;4,566814482
31063416;19000;-75,75399552;4,568255467;-75,75428136;4,568613105
31063422;19000;-75,75675377;4,560598559;-75,75675377;4,560598559
31063432;19000;-75,75660104;4,560367739;-75,75676414;4,560347247
31063450;19000;-75,75909063;4,565577983;-75,75909063;4,565577983
31063605;19000;-75,75202921;4,566083861;-75,75203191;4,566085674
31063611;19000;-75,75356611;4,564161038;-75,75431669;4,563604615
31063632;19000;-75,75063106;4,5606686;-75,75089312;4,560726946
31063638;19000;-75,75135459;4,566486729;-75,75140132;4,566547388
31063652;19000;-75,75495572;4,564433023;-75,75495572;4,564433023
31063660;19000;-75,74912572;4,565510715;-75,74892366;4,564675884
31063682;19000;-75,75675032;4,568861773;-75,75715906;4,569998043
31063689;19000;-75,7535571;4,564161021;-75,7535571;4,564161021
31063696;19000;-75,75695031;4,560031165;-75,75695031;4,560031165
31063704;19000;-75,74522147;4,57069732;-75,74506005;4,571265678
31063711;19000;-75,74619053;4,565517912;-75,74690539;4,565284185
31063720;19000;-75,75520385;4,559320956;-75,75532467;4,559264223
31063727;19000;-75,75311981;4,565329175;-75,7530034;4,564942921
31063734;19000;-75,7551301;4,560724843;-75,75523511;4,560449295
31063742;19000;-75,75150598;4,566957126;-75,75150597;4,566958935
31063542;19000;-75,74518293;4,572047925;-75,74518293;4,572047925
31063551;19000;-75,75280472;4,559815568;-75,75273137;4,560022464
31063557;19000;-75,75562166;4,560414751;-75,75585411;4,56041066
31063566;19000;-75,75585411;4,56041066;-75,75600637;4,5604019
31063574;19000;-75,74927337;4,566051623;-75,74912572;4,565510715
31063581;19000;-75,74731117;4,568980773;-75,74731117;4,568980773
31063590;19000;-75,74519194;4,572047942;-75,74536166;4,571860213
31063598;19000;-75,75523511;4,560449295;-75,75523511;4,560449295
31063457;19000;-75,75666991;4,558675443;-75,75672107;4,558779506
31063465;19000;-75,75216537;4,566999937;-75,75216537;4,566999937
31063474;19000;-75,75253236;4,562422403;-75,75253236;4,562422403
31063482;19000;-75,75676414;4,560347247;-75,75690922;4,560330337
31063489;19000;-75,75539912;4,560426093;-75,75562166;4,560414751
31063498;19000;-75,74927337;4,566051623;-75,74927337;4,566051623
31063505;19000;-75,74519194;4,572047942;-75,74536821;4,572217332
31063514;19000;-75,7468157;4,567013501;-75,74731707;4,567252205
31063535;19000;-75,75600637;4,5604019;-75,75600637;4,5604019
31063758;19000;-75,7614927;4,567427623;-75,7614927;4,567427623
31063765;19000;-75,75626512;4,568649323;-75,75675032;4,568861773
31063772;19000;-75,74649526;4,569294773;-75,74620642;4,569591673
31063779;19000;-75,7459415;4,572539346;-75,7459415;4,572539346
31063786;19000;-75,75337426;4,55825077;-75,75314169;4,558818097
31082566;19000;-75,67657869;4,534964767;-75,67657869;4,534964767
31082573;19000;-75,70331186;4,531936198;-75,70331186;4,531936198
31082614;19000;-75,68115814;4,531462357;-75,68073714;4,531152357
31082630;19000;-75,69086042;4,531856281;-75,69130715;4,531904151
31082588;19000;-75,6827259;4,532253722;-75,68220113;4,532031214
31082595;19000;-75,67367989;4,53908155;-75,67392083;4,53886957
31082605;19000;-75,69600992;4,530318443;-75,69600992;4,530318443
31080455;19000;-75,71085221;4,518914961;-75,71050432;4,519003804
31080463;19000;-75,70426663;4,519623;-75,70371365;4,519546912
31082648;19000;-75,68022414;4,531840244;-75,68022414;4,531840244
31082655;19000;-75,67423977;4,537451751;-75,67442111;4,537311978
31080798;19000;-75,78104723;4,452493954;-75,78043036;4,452398837
31080807;19000;-75,76981159;4,426573914;-75,76850809;4,425106991
31080817;19000;-75,77208359;4,452457247;-75,77200758;4,452653297
31080829;19000;-75,78206976;4,452417107;-75,78165959;4,452593582
31080837;19000;-75,71625139;4,399164373;-75,71625139;4,399164373
31082250;19000;-75,68073714;4,531152357;-75,68024599;4,530785267
31082256;19000;-75,69618482;4,531663101;-75,69648489;4,53162209
31082263;19000;-75,69981411;4,53131928;-75,69981411;4,53131928
31080844;19000;-75,78511812;4,451331258;-75,78565082;4,451137819
31080853;19000;-75,77517649;4,452169828;-75,77454667;4,452262733
31080705;19000;-75,78797403;4,446964128;-75,78797403;4,446964128
31080716;19000;-75,72173521;4,40144904;-75,72120793;4,401156967
31080729;19000;-75,78483865;4,455571827;-75,78523256;4,455426061
31080741;19000;-75,76042673;4,416386341;-75,75921646;4,415186281
31080748;19000;-75,73204946;4,398288229;-75,73042497;4,399581711
31080756;19000;-75,72864152;4,401604481;-75,72831472;4,40201614
31080765;19000;-75,78833913;4,447835405;-75,78797403;4,446964128
31082350;19000;-75,6749818;4,535732805;-75,67504483;4,535743777
31082357;19000;-75,69513519;4,530791391;-75,69574549;4,531043888
31082365;19000;-75,68433308;4,532218863;-75,68461421;4,532180533
31082373;19000;-75,68511248;4,532132678;-75,68514464;4,532273771
31082379;19000;-75,68427436;4,529955018;-75,68426846;4,529746172
31082386;19000;-75,68677451;4,531209241;-75,68677451;4,531209241
31082393;19000;-75,7014618;4,530831529;-75,7014618;4,530831529
31082404;19000;-75,68331977;4,532141866;-75,68331977;4,532141866
31082412;19000;-75,67423977;4,537451751;-75,67394733;4,537743186
31082431;19000;-75,67831096;4,534995258;-75,67831096;4,534995258
31082443;19000;-75,70048845;4,531055683;-75,70048845;4,531055683
31082451;19000;-75,67559467;4,536044086;-75,67564338;4,536010732
31082458;19000;-75,69484128;4,53091197;-75,69497517;4,531565855
31082468;19000;-75,69394087;4,531157046;-75,69455193;4,531007243
31082476;19000;-75,68120413;4,533312122;-75,6812902;4,532591765
31082485;19000;-75,68800315;4,531739576;-75,68800315;4,531739576
31080475;19000;-75,68999261;4,520224933;-75,69049201;4,5205179
31080482;19000;-75,70838734;4,519479847;-75,70820078;4,519524696
31080489;19000;-75,69343979;4,521810923;-75,69375427;4,521767228
31080496;19000;-75,69787189;4,520877387;-75,69826216;4,520770551
31080503;19000;-75,69587908;4,521435896;-75,69640269;4,521315755
31080510;19000;-75,70788616;4,519646147;-75,70741388;4,519776339
31080677;19000;-75,78653137;4,459754531;-75,78640833;4,459559722
31080687;19000;-75,76849323;4,451859575;-75,76860341;4,452206034
31082274;19000;-75,68461421;4,532180533;-75,68511248;4,532132678
31082281;19000;-75,69155927;4,531967016;-75,69175682;4,531829981
31082296;19000;-75,6732464;4,539170203;-75,67288054;4,538768094
31082313;19000;-75,6843533;4,530133268;-75,68427436;4,529955018
31082327;19000;-75,68138911;4,533619855;-75,68120413;4,533312122
31082335;19000;-75,69998796;4,531801472;-75,6996689;4,531886747
31095993;19000;-75,69232944;4,506456226;-75,69232944;4,506456226
31095999;19000;-75,69316871;4,506608807;-75,69370845;4,506529379
31096078;19000;-75,68800705;4,515097876;-75,68800705;4,515097876
31096084;19000;-75,69339616;4,498775648;-75,69339616;4,498775648
31096090;19000;-75,69091193;4,506728345;-75,69091014;4,506725629
31096096;19000;-75,69043556;4,509482973;-75,69043556;4,509482973
31096103;19000;-75,68854598;4,519692379;-75,68854149;4,519686042
31096109;19000;-75,69119073;4,499850872;-75,69119073;4,499850872
31096124;19000;-75,6940387;4,506238905;-75,69429786;4,506389473
31096130;19000;-75,68887131;4,517739357;-75,68857058;4,517659223
31096007;19000;-75,69919234;4,49285158;-75,69919234;4,49285158
31096021;19000;-75,69587556;4,504766096;-75,69587556;4,504766096
31096027;19000;-75,69232043;4,506456209;-75,69316871;4,506608807
31096034;19000;-75,6885541;4,519687875;-75,68854961;4,519680634
31096041;19000;-75,69535031;4,504807585;-75,69538943;4,505078875
31096047;19000;-75,69143263;4,499122671;-75,69167517;4,499004703
31096054;19000;-75,6905448;4,504622112;-75,6905448;4,504622112
31096062;19000;-75,68943489;4,50987974;-75,68923763;4,509870321
31096068;19000;-75,6984448;4,501850904;-75,6984448;4,501850904
31082497;19000;-75,67469614;4,535780163;-75,67460139;4,53585863
31095929;19000;-75,69077533;4,501344471;-75,69095592;4,500645082
31095936;19000;-75,68981924;4,510987937;-75,69020608;4,511255373
31095942;19000;-75,69834982;4,493467448;-75,69919775;4,49284707
31095949;19000;-75,6884802;4,511679676;-75,6884802;4,511679676
31095955;19000;-75,69495609;4,50510517;-75,69535031;4,504807585
31095962;19000;-75,69291188;4,499060404;-75,69339616;4,498775648
31095968;19000;-75,68936087;4,518939066;-75,68936087;4,518939066
