FID;CODIGO;FASES;COOR_GPS_LON;COOR_GPS_LAT;CAPACIDAD_NOMINAL;MUNICIPIO;CIRCUITO;UBICACION;PROPIETARIO_1;TIPO
46720654;S-875;RTN;-75,66670746;4,66668727;100;FILANDIA;304-23-;VR CAJONES PLANTA DEL GAS;EDEQ;S
46743249;S-2176;RST;-75,66261133;4,556929053;100;ARMENIA;113-26-;CLL 19N FRENTE A LA C.R.Q;EDEQ;S
46743325;S-1319;RST;-75,84485443;4,514551525;100;MONTENEGRO;111-24-;VR BUENOS AIRES FC LA JULIANA;EDEQ;S
46898238;S-2453;RT;-75,67402804;4,565746033;100;CIRCASIA;303-25-;;PARTICULAR;S
46898913;S-428;RST;-75,78199364;4,570204451;100;QUIMBAYA;303-26-;VR GUAYABO FCA RASTRILLO;EDEQ;S
46916401;S-2430;RST;-75,72609073;4,522875146;100;ARMENIA;111-22-;FCA GUAYABAL VDA GUAYABAL;EDEQ;S
30766353;S-375;RST;-75,77119917;4,428386344;100;LA TEBAIDA;205-25-;VR PRIMAVERA HD LOS PISAMOS;EDEQ;S
30766372;S-1299;RST;-75,76282002;4,419934588;100;ARMENIA;205-25-;VDA PRIMAVERA HDA PORTUGAL;EDEQ;S
30766366;S-364;RST;-75,76320039;4,420294185;100;ARMENIA;205-25-;VR PRIMAVERA HD PORTUGAL;EDEQ;S
30766336;S-1298;RST;-75,76277491;4,419974287;100;ARMENIA;205-25-;VDA PRIMAVERA HDA PORTUGAL;EDEQ;S
46688936;C-0928;RST;-75,7227047;4,423002058;630;CALARCÁ;206-25-;;EDEQ;C
46688938;C-0926;RST;-75,72265339;4,422997394;630;CALARCÁ;206-25-;;EDEQ;C
46688939;C-0927;RST;-75,72269174;4,423066318;630;CALARCÁ;206-25-;;EDEQ;C
43135483;C-0766;STR;-75,66428;4,501403856;630;CALARCÁ;205-23-;VR LA BELLA FC TUCUMAY;EDEQ;C
43135513;C-0767;STR;-75,6642843;4,501409383;630;CALARCÁ;205-23-;VR LA BELLA FC TUCUMAY;EDEQ;C
43135534;C-0768;RST;-75,66422535;4,50143026;630;CALARCÁ;208-25-;VR LA BELLA FC TUCUMAY;EDEQ;C
39464898;C-0480;RST;-75,65188362;4,562216549;630;ARMENIA;112-33;GLORITA LOS ABORIGENES CRA 14;EDEQ;C
39464902;C-0481;RST;-75,65183283;4,562176304;630;ARMENIA;112-33;GLORITA LOS ABORIGENES CRA 14;EDEQ;C
43287566;C-0779;RST;-75,68865978;4,513928127;600;ARMENIA;110-22-;BRR CASTILLA BODEGA POSTOBON;EDEQ;C
43287594;C-0780;RST;-75,68864149;4,513914969;600;ARMENIA;110-22-;BRR CASTILLA BODEGA POSTOBON;EDEQ;C
43287602;C-0778;RST;-75,68861161;4,513901366;600;ARMENIA;110-24-;BRR CASTILLA BODEGA POSTOBON;EDEQ;C
43143406;C-0014;RST;-75,73556321;4,396721512;630;BUENAVISTA;206-25-;SUBESTACION PARAGUAICITO;EDEQ;C
43144643;C-0687;RST;-75,75324294;4,564344645;630;MONTENEGRO;303-23-;BA COLON MZ A CA 05;EDEQ;C
46683101;C-0919;RST;-75,65421554;4,560348672;630;ARMENIA;112-22-;;EDEQ;C
46683117;C-0917;RST;-75,65416351;4,560367995;630;ARMENIA;112-22-;;EDEQ;C
46683125;C-0918;RST;-75,65423412;4,560413331;630;ARMENIA;112-22-;;EDEQ;C
43244474;C-0775;RST;-75,79046073;4,457976976;600;LA TEBAIDA;101-24-;CLL 12 VARIANTE VIA AL VALLE;EDEQ;C
43244475;C-0776;RST;-75,79050349;4,458036442;600;LA TEBAIDA;101-24-;REEMPLAZA LAS C-0039;EDEQ;C
43244478;C-0777;RST;-75,79052354;4,457980985;600;LA TEBAIDA;101-25-;CLL 12 VARIANTE VIA AL VALLE;EDEQ;C
46675874;C-0876;RST;-75,69757804;4,524910229;630;ARMENIA;111-23-;;EDEQ;C
46675887;C-0875;RST;-75,69751281;4,524958215;630;ARMENIA;111-23-;;EDEQ;C
46675894;C-0877;RST;-75,69751056;4,52490498;630;ARMENIA;111-23-;;EDEQ;C
46729711;C-0848;RST;-75,68190868;4,423509125;600;CÓRDOBA;206-22-;VDA GUAYAQUIL ALTO FCA LA PALMA;EDEQ;C
